"diff","lwr","upr","p adj","comparison"
0.0401296951391774,-0.119298346184605,0.19955773646296,0.999143811197247,"Concession-Mendieta"
-0.00160613445388848,-0.17223544679773,0.169023177889953,1,"Caro Caido-Mendieta"
-0.0148093153065588,-0.159017404615357,0.12939877400224,0.999999901718826,"7H-Mendieta"
0.057046120891486,-0.152483375154561,0.266575616937533,0.998259283271458,"Powder Ilo-Mendieta"
-0.00285128059010539,-0.212380776636152,0.206678215455942,1,"Ilo mariculture-Mendieta"
0.0231264381483345,-0.186403057897713,0.232655934194382,0.999999788192699,"Lima Market Freeze Dry-Mendieta"
-0.00424602566052414,-0.213775521706571,0.205283470385523,1,"Lima Market Oven Dry-Mendieta"
0.0261227914520977,-0.183406704593949,0.235652287498145,0.999999231955225,"Ilo Freeze Dry-Mendieta"
-0.0241937274837235,-0.367477643688957,0.31909018872151,0.999999998294601,"Ilo oven dry-Mendieta"
0.204611876801824,-0.00491761924422265,0.414141372847871,0.0611975277436601,"Ilo Fresh-Mendieta"
1.18082432190939,0.971294825863347,1.39035381795544,2.40363284831346e-13,"Lima Market Fresh-Mendieta"
-0.0417358295930658,-0.243398122986105,0.159926463799973,0.999865886183944,"Caro Caido-Concession"
-0.0549390104457362,-0.234798097977344,0.124920077085871,0.995279409102154,"7H-Concession"
0.0169164257523086,-0.2185743979732,0.252407249477817,0.999999997902754,"Powder Ilo-Concession"
-0.0429809757292828,-0.278471799454791,0.192509847996226,0.999961208495659,"Ilo mariculture-Concession"
-0.0170032569908429,-0.252494080716351,0.218487566734666,0.999999997783083,"Lima Market Freeze Dry-Concession"
-0.0443757207997015,-0.27986654452521,0.191115102925807,0.999946667910226,"Lima Market Oven Dry-Concession"
-0.0140069036870797,-0.249497727412588,0.221483920038429,0.99999999973021,"Ilo Freeze Dry-Concession"
-0.0643234226229008,-0.424041597686116,0.295394752440314,0.999968405129848,"Ilo oven dry-Concession"
0.164482181662647,-0.0710086420628614,0.399973005388156,0.42292277529031,"Ilo Fresh-Concession"
1.14069462677022,0.905203803044709,1.37618545049573,2.40363284831346e-13,"Lima Market Fresh-Concession"
-0.0132031808526704,-0.203061952676089,0.176655590970748,0.999999998524627,"7H-Caro Caido"
0.0586522553453745,-0.184561621580908,0.301866132271657,0.999423864449418,"Powder Ilo-Caro Caido"
-0.00124514613621692,-0.2444590230625,0.241968730790066,1,"Ilo mariculture-Caro Caido"
0.0247325726022229,-0.21848130432406,0.267946449528506,0.999999911499398,"Lima Market Freeze Dry-Caro Caido"
-0.00263989120663566,-0.245853768132918,0.240573985719647,1,"Lima Market Oven Dry-Caro Caido"
0.0277289259059861,-0.215484951020297,0.270942802832269,0.999999701226847,"Ilo Freeze Dry-Caro Caido"
-0.022587593029835,-0.387408408419259,0.342233222359589,0.999999999582489,"Ilo oven dry-Caro Caido"
0.206218011255713,-0.0369958656705699,0.449431888181996,0.168194761611343,"Ilo Fresh-Caro Caido"
1.18243045636328,0.939216579437,1.42564433328957,2.40363284831346e-13,"Lima Market Fresh-Caro Caido"
0.0718554361980448,-0.153609862064626,0.297320734460716,0.993277400633414,"Powder Ilo-7H"
0.0119580347164534,-0.213507263546218,0.237423332979125,0.999999999922699,"Ilo mariculture-7H"
0.0379357534548933,-0.187529544807778,0.263401051717564,0.999982906792489,"Lima Market Freeze Dry-7H"
0.0105632896460347,-0.214902008616636,0.236028587908706,0.999999999980106,"Lima Market Oven Dry-7H"
0.0409321067586565,-0.184533191504015,0.266397405021328,0.999963225427526,"Ilo Freeze Dry-7H"
-0.00938441217716464,-0.362620647765427,0.343851823411098,1,"Ilo oven dry-7H"
0.219421192108383,-0.00604410615428791,0.444886490371054,0.0629562853036463,"Ilo Fresh-7H"
1.19563363721595,0.970168338953282,1.42109893547862,2.40363284831346e-13,"Lima Market Fresh-7H"
-0.0598974014815914,-0.331818782420809,0.212023979457627,0.999755142281193,"Ilo mariculture-Powder Ilo"
-0.0339196827431515,-0.30584106368237,0.238001698196066,0.999999227589128,"Lima Market Freeze Dry-Powder Ilo"
-0.0612921465520101,-0.333213527491228,0.210629234387208,0.999694985846045,"Lima Market Oven Dry-Powder Ilo"
-0.0309233294393883,-0.302844710378606,0.24099805149983,0.999999709153321,"Ilo Freeze Dry-Powder Ilo"
-0.0812398483752095,-0.465794753198672,0.303315056448253,0.999836274186446,"Ilo oven dry-Powder Ilo"
0.147565755910338,-0.12435562502888,0.419487136849556,0.770817159747998,"Ilo Fresh-Powder Ilo"
1.12377820101791,0.85185682007869,1.39569958195713,2.41917597065822e-13,"Lima Market Fresh-Powder Ilo"
0.0259777187384398,-0.245943662200778,0.297899099677658,0.999999954627168,"Lima Market Freeze Dry-Ilo mariculture"
-0.00139474507041874,-0.273316126009637,0.270526635868799,1,"Lima Market Oven Dry-Ilo mariculture"
0.0289740720422031,-0.242947308897015,0.300895452981421,0.999999854369488,"Ilo Freeze Dry-Ilo mariculture"
-0.0213424468936181,-0.405897351717081,0.363212457929845,0.999999999873191,"Ilo oven dry-Ilo mariculture"
0.20746315739193,-0.0644582235472882,0.479384538331148,0.295020662874258,"Ilo Fresh-Ilo mariculture"
1.1836756024995,0.911754221560282,1.45559698343872,2.41140440948584e-13,"Lima Market Fresh-Ilo mariculture"
-0.0273724638088586,-0.299293844748077,0.244548917130359,0.999999920597215,"Lima Market Oven Dry-Lima Market Freeze Dry"
0.00299635330376322,-0.268925027635455,0.274917734242981,1,"Ilo Freeze Dry-Lima Market Freeze Dry"
-0.0473201656320579,-0.431875070455521,0.337234739191405,0.999999330844593,"Ilo oven dry-Lima Market Freeze Dry"
0.18148543865349,-0.090435942285728,0.453406819592708,0.491835464019464,"Ilo Fresh-Lima Market Freeze Dry"
1.15769788376106,0.885776502821842,1.42961926470028,2.41695552460897e-13,"Lima Market Fresh-Lima Market Freeze Dry"
0.0303688171126218,-0.241552563826596,0.30229019805184,0.999999759942998,"Ilo Freeze Dry-Lima Market Oven Dry"
-0.0199477018231993,-0.404502606646662,0.364607203000264,0.999999999939357,"Ilo oven dry-Lima Market Oven Dry"
0.208857902462349,-0.0630634784768694,0.480779283401567,0.285952578842442,"Ilo Fresh-Lima Market Oven Dry"
1.18507034756992,0.913148966630701,1.45699172850914,2.41029418646121e-13,"Lima Market Fresh-Lima Market Oven Dry"
-0.0503165189358211,-0.434871423759284,0.334238385887642,0.99999872475289,"Ilo oven dry-Ilo Freeze Dry"
0.178489085349727,-0.0934322955894912,0.450410466288945,0.517009780147266,"Ilo Fresh-Ilo Freeze Dry"
1.1547015304573,0.882780149518079,1.42662291139651,2.41917597065822e-13,"Lima Market Fresh-Ilo Freeze Dry"
0.228805604285548,-0.155749300537915,0.613360509109011,0.658613320331192,"Ilo Fresh-Ilo oven dry"
1.20501804939312,0.820463144569655,1.58957295421658,3.23496784915278e-12,"Lima Market Fresh-Ilo oven dry"
0.97621244510757,0.704291064168352,1.24813382604679,2.90101276334553e-13,"Lima Market Fresh-Ilo Fresh"
