"sample ID.x","sample weight.x","tray well.x","join_id","date.x","X455","X564","X592","X618","X645","X565","diff_absorbance","sample ID.y","sample weight.y","tray well.y","date.y"
"Lab_01",23.6,1,"A01","29/05/25",NA,NA,NA,NA,NA,NA,NA,"Lab_01",23.6,1,"29/05/25"
"Lab_01",24,2,"A02","29/05/25",0.03,0.018,0.012,0.012,0.009,0.017,-0.001,"Lab_01",24,2,"29/05/25"
"Lab_02",27.1,3,"A03","29/05/25",0.029,0.019,0.012,0.011,0.008,0.019,0,"Lab_02",27.1,3,"29/05/25"
"Lab_02",23.2,4,"A04","29/05/25",0.022,0.013,0.009,0.009,0.007,0.013,0,"Lab_02",23.2,4,"29/05/25"
"Lab_03",25.4,5,"A05","29/05/25",0.039,0.02,0.017,0.015,0.011,0.017,-0.003,"Lab_03",25.4,5,"29/05/25"
"Lab_03",25.2,6,"A06","29/05/25",0.015,0.007,0.005,0.004,0.002,0.005,-0.002,"Lab_03",25.2,6,"29/05/25"
"Lab_04",26.2,7,"A07","29/05/25",0.022,0.01,0.008,0.007,0.004,0.00899999999999999,-0.001,"Lab_04",26.2,7,"29/05/25"
"Lab_04",25.2,8,"A08","29/05/25",0.015,0.009,0.006,0.005,0.003,0.008,-0.001,"Lab_04",25.2,8,"29/05/25"
"Lab_05",23.3,9,"A09","29/05/25",0.029,0.012,0.007,0.007,0.003,0.01,-0.00199999999999999,"Lab_05",23.3,9,"29/05/25"
"Lab_05",23.3,10,"A10","29/05/25",0.063,0.053,0.044,0.04,0.035,0.048,-0.005,"Lab_05",23.3,10,"29/05/25"
"Lab_12",26.3,11,"A11","29/05/25",0.017,0.007,0.006,0.005,0.003,0.007,0,"Lab_12",26.3,11,"29/05/25"
"Lab_12",26.5,12,"A12","29/05/25",0.017,0.007,0.005,0.004,0.002,0.007,0,"Lab_12",26.5,12,"29/05/25"
"Lab_13",24.6,13,"B01","29/05/25",0.076,0.048,0.042,0.039,0.038,0.044,-0.004,"Lab_13",24.6,13,"29/05/25"
"Lab_13",26.2,14,"B02","29/05/25",0.018,0.008,0.005,0.004,0.003,0.008,0,"Lab_13",26.2,14,"29/05/25"
"Lab_14",25.7,15,"B03","29/05/25",0.028,0.016,0.013,0.012,0.01,0.016,0,"Lab_14",25.7,15,"29/05/25"
"Lab_14",26.2,16,"B04","29/05/25",0.019,0.008,0.005,0.004,0.003,0.008,0,"Lab_14",26.2,16,"29/05/25"
"Lab_16",25.7,17,"B05","29/05/25",0.06,0.016,0.016,0.014,0.019,0.022,0.006,"Lab_16",25.7,17,"29/05/25"
"Lab_16",23.9,18,"B06","29/05/25",0.026,0.016,0.01,0.009,0.006,0.016,0,"Lab_16",23.9,18,"29/05/25"
"Lab_17",25.6,19,"B07","29/05/25",0.684,0.599,0.562,0.516,0.49,0.582,-0.017,"Lab_17",25.6,19,"29/05/25"
"Lab_17",25.7,20,"B08","29/05/25",0.017,0.015,0.008,0.007,0.003,0.015,0,"Lab_17",25.7,20,"29/05/25"
"Lab_18",26.7,21,"B09","29/05/25",0.055,0.026,0.019,0.02,0.016,0.032,0.00599999999999999,"Lab_18",26.7,21,"29/05/25"
"Lab_18",24.1,22,"B10","29/05/25",0.018,0.013,0.006,0.005,0.002,0.012,-0.000999999999999994,"Lab_18",24.1,22,"29/05/25"
"Lab_19",24.2,23,"B11","29/05/25",0.026,0.016,0.013,0.012,0.011,0.016,0,"Lab_19",24.2,23,"29/05/25"
"Lab_19",26.8,24,"B12","29/05/25",0.02,0.012,0.009,0.01,0.009,0.014,0.002,"Lab_19",26.8,24,"29/05/25"
"Lab_23",23.4,25,"C01","29/05/25",NA,NA,NA,NA,NA,NA,NA,"Lab_23",23.4,25,"29/05/25"
"Lab_23",26.6,26,"C02","29/05/25",0.026,0.019,0.01,0.009,0.006,0.019,0,"Lab_23",26.6,26,"29/05/25"
"Lab_24",24.6,27,"C03","29/05/25",0.035,0.029,0.019,0.017,0.014,0.029,0,"Lab_24",24.6,27,"29/05/25"
"Lab_24",24.6,28,"C04","29/05/25",0.025,0.02,0.013,0.012,0.008,0.02,0,"Lab_24",24.6,28,"29/05/25"
"Lab_25",25.8,29,"C05","29/05/25",0.067,0.053,0.043,0.039,0.035,0.052,-0.001,"Lab_25",25.8,29,"29/05/25"
"Lab_25",24.9,30,"C06","29/05/25",0.019,0.01,0.005,0.004,0.003,0.008,-0.002,"Lab_25",24.9,30,"29/05/25"
"Lab_26",25.2,31,"C07","29/05/25",0.012,0.003,0.000999999999999994,0.00199999999999999,0.000999999999999994,0.004,0.001,"Lab_26",25.2,31,"29/05/25"
"Lab_26",25.4,32,"C08","29/05/25",0.046,0.036,0.029,0.031,0.029,0.036,0,"Lab_26",25.4,32,"29/05/25"
"Lab_35",23.4,33,"C09","29/05/25",0.017,0.009,0.005,0.004,0.003,0.009,0,"Lab_35",23.4,33,"29/05/25"
"Lab_35",24.7,34,"C10","29/05/25",0.031,0.019,0.013,0.011,0.008,0.015,-0.004,"Lab_35",24.7,34,"29/05/25"
"Lab_36",23.8,35,"C11","29/05/25",0.017,0.011,0.007,0.006,0.004,0.011,0,"Lab_36",23.8,35,"29/05/25"
"Lab_36",25,36,"C12","29/05/25",0.018,0.015,0.008,0.008,0.005,0.014,-0.001,"Lab_36",25,36,"29/05/25"
"Lab_37",25,37,"D01","29/05/25",0.021,0.00899999999999999,0.005,0.004,0.003,0.00899999999999999,0,"Lab_37",25,37,"29/05/25"
"Lab_37",25.6,38,"D02","29/05/25",0.016,0.014,0.006,0.005,0.002,0.014,0,"Lab_37",25.6,38,"29/05/25"
"Lab_38",26,39,"D03","29/05/25",0.019,0.015,0.007,0.006,0.003,0.015,0,"Lab_38",26,39,"29/05/25"
"Lab_38",23.2,40,"D04","29/05/25",0.015,0.009,0.005,0.008,0.004,0.009,0,"Lab_38",23.2,40,"29/05/25"
"Lab_40",25.1,41,"D05","29/05/25",0.016,0.01,0.007,0.007,0.005,0.01,0,"Lab_40",25.1,41,"29/05/25"
"Lab_40",24.3,42,"D06","29/05/25",0.018,0.012,0.009,0.008,0.005,0.012,0,"Lab_40",24.3,42,"29/05/25"
"Lab_43",24.4,43,"D07","29/05/25",NA,NA,NA,NA,NA,NA,NA,"Lab_43",24.4,43,"29/05/25"
"Lab_43",25.8,44,"D08","29/05/25",0.016,0.01,0.007,0.006,0.005,0.01,0,"Lab_43",25.8,44,"29/05/25"
"Lab_45",23.6,45,"D09","29/05/25",0.011,0.006,0.003,0.003,0.002,0.005,-0.001,"Lab_45",23.6,45,"29/05/25"
"Lab_45",25.4,46,"D10","29/05/25",0.041,0.032,0.032,0.031,0.03,0.034,0.00199999999999999,"Lab_45",25.4,46,"29/05/25"
"Lab_50",23.4,47,"D11","29/05/25",0.017,0.011,0.008,0.008,0.005,0.011,0,"Lab_50",23.4,47,"29/05/25"
"Lab_50",24.9,48,"D12","29/05/25",0.028,0.021,0.015,0.012,0.01,0.019,-0.00199999999999999,"Lab_50",24.9,48,"29/05/25"
"Lab_57",24.3,49,"E01","29/05/25",NA,NA,NA,NA,NA,NA,NA,"Lab_57",24.3,49,"29/05/25"
"Lab_57",26.1,50,"E02","29/05/25",0.012,0.006,0.004,0.003,0.002,0.006,0,"Lab_57",26.1,50,"29/05/25"
"Lab_58",26,51,"E03","29/05/25",0.015,0.008,0.005,0.005,0.003,0.008,0,"Lab_58",26,51,"29/05/25"
"Lab_58",26.3,52,"E04","29/05/25",0.017,0.007,0.005,0.005,0.003,0.007,0,"Lab_58",26.3,52,"29/05/25"
"Lab_59",27,53,"E05","29/05/25",0.011,0.006,0.004,0.003,0.002,0.006,0,"Lab_59",27,53,"29/05/25"
"Lab_59",23.4,54,"E06","29/05/25",0.009,0.004,0.002,0.002,0,0.004,0,"Lab_59",23.4,54,"29/05/25"
"Lab_60",23.3,55,"E07","29/05/25",0.013,0.006,0.00199999999999999,0.00199999999999999,0.000999999999999994,0.006,0,"Lab_60",23.3,55,"29/05/25"
"Lab_60",26.2,56,"E08","29/05/25",0.013,0.005,0.004,0.004,0.003,0.006,0.001,"Lab_60",26.2,56,"29/05/25"
"Lab_61",24,57,"E09","29/05/25",0.019,0.012,0.011,0.01,0.008,0.012,0,"Lab_61",24,57,"29/05/25"
"Lab_61",23.3,58,"E10","29/05/25",0.018,0.012,0.011,0.01,0.008,0.012,0,"Lab_61",23.3,58,"29/05/25"
"Lab_62",23.9,59,"E11","29/05/25",0.012,0.006,0.005,0.004,0.002,0.006,0,"Lab_62",23.9,59,"29/05/25"
"Lab_62",23,60,"E12","29/05/25",0.014,0.013,0.008,0.007,0.005,0.013,0,"Lab_62",23,60,"29/05/25"
"Lab_63",23.2,61,"F01","29/05/25",NA,NA,NA,NA,NA,NA,NA,"Lab_63",23.2,61,"29/05/25"
"Lab_63",23.9,62,"F02","29/05/25",0.014,0.016,0.008,0.007,0.003,0.013,-0.003,"Lab_63",23.9,62,"29/05/25"
"Lab_63",23.2,63,"F03","29/05/25",0.016,0.017,0.009,0.009,0.006,0.017,0,"Lab_63",23.2,63,"29/05/25"
"Lab_63",24.1,64,"F04","29/05/25",0.015,0.015,0.007,0.006,0.003,0.014,-0.001,"Lab_63",24.1,64,"29/05/25"
"Lab_63",24,65,"F05","29/05/25",0.011,0.012,0.005,0.005,0.002,0.011,-0.001,"Lab_63",24,65,"29/05/25"
"Lab_63",23.8,66,"F06","29/05/25",0.013,0.011,0.005,0.006,0.003,0.011,0,"Lab_63",23.8,66,"29/05/25"
"Lab_64",23.1,67,"F07","29/05/25",NA,NA,NA,NA,NA,NA,NA,"Lab_64",23.1,67,"29/05/25"
"Lab_64",23.3,68,"F08","29/05/25",0.016,0.007,0.006,0.004,0.002,0.007,0,"Lab_64",23.3,68,"29/05/25"
"Lab_64",23.9,69,"F09","29/05/25",0.013,0.006,0.004,0.003,0.002,0.005,-0.001,"Lab_64",23.9,69,"29/05/25"
"Lab_64",26.8,70,"F10","29/05/25",0.028,0.015,0.008,0.006,0.007,0.01,-0.005,"Lab_64",26.8,70,"29/05/25"
"Lab_64",23,71,"F11","29/05/25",0.032,0.027,0.022,0.021,0.02,0.026,-0.001,"Lab_64",23,71,"29/05/25"
"Lab_64",23.5,72,"F12","29/05/25",0.026,0.015,0.011,0.01,0.008,0.014,-0.001,"Lab_64",23.5,72,"29/05/25"
"Fresh_1",94.3,73,"G01","29/05/25",NA,NA,NA,NA,NA,NA,NA,"Fresh_1",94.3,73,"29/05/25"
"Fresh_1",115.8,74,"G02","29/05/25",0.026,0.014,0.012,0.012,0.01,0.014,0,"Fresh_1",115.8,74,"29/05/25"
"Fresh_2",105.8,75,"G03","29/05/25",0.015,0.005,0.004,0.003,0.002,0.005,0,"Fresh_2",105.8,75,"29/05/25"
"Fresh_2",102.7,76,"G04","29/05/25",0.012,0.005,0.004,0.004,0.003,0.005,0,"Fresh_2",102.7,76,"29/05/25"
"Fresh_3",96.4,77,"G05","29/05/25",0.046,0.027,0.024,0.022,0.019,0.027,0,"Fresh_3",96.4,77,"29/05/25"
"Fresh_3",86.4,78,"G06","29/05/25",0.127,0.078,0.066,0.062,0.057,0.075,-0.003,"Fresh_3",86.4,78,"29/05/25"
"BLANK_01",0,79,"G07","29/05/25",0.083,0.045,0.039,0.035,0.032,0.045,0,"BLANK_01",0,79,"29/05/25"
"BLANK_02",0,80,"G08","29/05/25",0.019,0.011,0.008,0.006,0.004,0.01,-0.001,"BLANK_02",0,80,"29/05/25"
"BLANK_03",0,81,"G09","29/05/25",0.073,0.044,0.038,0.034,0.03,0.042,-0.002,"BLANK_03",0,81,"29/05/25"
