"join_id","X564","X592","X455","X565","diff_absorbance","ID","sample weight","Tray well","date","PE_mg_per_mL","total_PE_mg","PE_mg_per_g_sample","Xred"
"A04",0.0136666666666667,0.00966666666666667,0.0166666666666667,0.0126666666666667,-0.001,"Lab_01",24.5,"A4",2025-05-06,0.000312,0.000467999999999999,0.0191020408163265,3655
"A06",0.0103333333333333,0.00433333333333333,0.0163333333333333,0.0103333333333333,0,"Lab_01",24.1,"A6",2025-05-06,0.000432,0.000648000000000001,0.0268879668049793,6074
"A08",0.00366666666666667,0.00066666666666667,0.0126666666666667,0.00366666666666667,0,"Lab_02",23.7,"A8",2025-05-06,7.20000000000004e-05,0.000108000000000001,0.00455696202531648,1759
"A10",0.0103333333333333,0.00533333333333334,0.0213333333333333,0.00933333333333334,-0.001,"Lab_03",23,"A10",2025-05-06,0.000216000000000001,0.000324000000000001,0.0140869565217392,4073
"A12",0.00866666666666667,0.00266666666666667,0.0126666666666667,0.00866666666666667,0,"Lab_03",26.9,"A12",2025-05-06,0.00048,0.00072,0.0267657992565056,5192
"B01",0.0163333333333333,0.00733333333333333,0.0213333333333333,0.0153333333333333,-0.001,"Lab_04",23.6,"A13",2025-05-06,0.000744,0.001116,0.0472881355932203,8246
"B02",0.00933333333333334,0.00533333333333334,0.0253333333333333,0.00933333333333334,0,"Lab_04",24.2,"A14",2025-05-06,3.12250225675825e-19,4.68375338513738e-19,1.93543528311462e-17,2590
"B04",0.00466666666666667,0.00166666666666667,0.0116666666666667,0.00466666666666667,0,"Lab_05",26.4,"A16",2025-05-06,0.000119999999999999,0.000179999999999999,0.00681818181818178,2113
"B05",0.0123333333333333,0.00733333333333333,0.0223333333333333,0.0113333333333333,-0.000999999999999994,"Lab_05",24.4,"B01",2025-05-06,0.00024,0.00036,0.0147540983606557,3397
"B06",0.0643333333333333,0.0533333333333333,0.0763333333333333,0.0603333333333333,-0.00399999999999998,"Lab_05",24.4,"B02",2025-05-06,0.000767999999999999,0.001152,0.0472131147540983,10536
"B07",0.0443333333333333,0.0253333333333333,0.0623333333333333,0.0433333333333333,-0.001,"Lab_06",23.2,"B03",2025-05-06,0.001392,0.002088,0.0899999999999999,9248
"B08",0.0426666666666667,0.0266666666666667,0.0686666666666667,0.0416666666666667,-0.001,"Lab_06",27.5,"B04",2025-05-06,0.000912,0.001368,0.0497454545454546,6929
"B09",0.0133333333333333,0.00833333333333333,0.0253333333333333,0.0133333333333333,0,"Lab_06",26.3,"B05",2025-05-06,0.000192,0.000287999999999999,0.0109505703422053,3793
"B10",0.00833333333333334,0.00433333333333333,0.0183333333333333,0.00833333333333334,0,"Lab_07",26.9,"B06",2025-05-06,0.000144,0.000216,0.00802973977695169,2657
"B11",0.0143333333333333,0.00533333333333334,0.0223333333333333,0.0133333333333333,-0.001,"Lab_07",25.9,"B07",2025-05-06,0.000672,0.001008,0.0389189189189189,6337
"B12",0.0156666666666667,0.00566666666666667,0.0216666666666667,0.0156666666666667,0,"Lab_07",25.3,"B08",2025-05-06,0.000816,0.001224,0.0483794466403162,10382
"C01",0.0143333333333333,0.00733333333333333,0.0173333333333333,0.0133333333333333,-0.001,"Lab_08",25.8,"B09",2025-05-06,6e-04,9e-04,0.0348837209302326,7652
"C02",0.0113333333333333,0.00433333333333333,0.0143333333333333,0.0113333333333333,0,"Lab_08",25.5,"B10",2025-05-06,6e-04,9e-04,0.0352941176470588,6979
"C03",0.00733333333333334,0.00133333333333333,0.0123333333333333,0.00733333333333334,0,"Lab_08",24.5,"B11",2025-05-06,0.000456000000000001,0.000684000000000001,0.0279183673469388,6719
"C04",0.00866666666666667,0.00466666666666667,0.0166666666666667,0.00866666666666667,0,"Lab_09",23.4,"B12",2025-05-06,0.000192,0.000288,0.0123076923076923,3752
"C05",0.0123333333333333,0.00533333333333333,0.0263333333333333,0.0123333333333333,0,"Lab_09",25,"B13",2025-05-06,0.000336,0.000504,0.02016,5848
"C06",0.0293333333333333,0.0243333333333333,0.0403333333333333,0.0283333333333333,-0.001,"Lab_09",26.2,"B14",2025-05-06,0.000216000000000001,0.000324000000000001,0.0123664122137405,4321
"C07",0.0243333333333333,0.00933333333333333,0.0193333333333333,0.0203333333333333,-0.004,"Lab_10",24.8,"B15",2025-05-06,0.00156,0.00234,0.0943548387096775,15170
"C08",0.0236666666666667,0.0136666666666667,0.0366666666666667,0.0236666666666667,0,"Lab_10",27,"B16",2025-05-06,0.000648,0.000972,0.036,11558
"C09",0.0233333333333333,0.0133333333333333,0.0443333333333333,0.0223333333333333,-0.001,"Lab_10",24.5,"C1",2025-05-06,0.000456,0.000684,0.0279183673469388,10254
"C10",0.0233333333333333,0.0163333333333333,0.0273333333333333,0.0223333333333333,-0.001,"Lab_11",26.5,"C2",2025-05-06,0.000576,0.000864,0.0326037735849057,8685
"C11",0.0153333333333333,0.00933333333333333,0.0233333333333333,0.0153333333333333,0,"Lab_11",24.8,"C3",2025-05-06,0.000384,0.000576000000000001,0.0232258064516129,6728
"C12",0.0756666666666667,0.0656666666666667,0.100666666666667,0.0756666666666667,0,"Lab_11",23,"C4",2025-05-06,0.000360000000000001,0.000540000000000001,0.0234782608695653,8249
"D02",0.0103333333333333,0.00533333333333334,0.0233333333333333,0.0103333333333333,0,"Lab_12",23.3,"C6",2025-05-06,0.000168,0.000252000000000001,0.0108154506437769,4450
"D04",0.00866666666666667,0.00466666666666667,0.0106666666666667,0.00866666666666667,0,"Lab_13",24.5,"C8",2025-05-06,0.000336,0.000504,0.0205714285714286,6392
"D05",0.00733333333333333,0.00333333333333333,0.0133333333333333,0.00733333333333333,0,"Lab_13",26.2,"C9",2025-05-06,0.00024,0.00036,0.0137404580152672,5330
"D06",0.0163333333333333,0.00633333333333334,0.0193333333333333,0.0163333333333333,0,"Lab_13",26.6,"C10",2025-05-06,0.000888,0.001332,0.0500751879699248,13629
"D08",0.00666666666666667,0.00366666666666667,0.0136666666666667,0.00666666666666667,0,"Lab_14",25.5,"C12",2025-05-06,0.00012,0.000179999999999999,0.00705882352941174,3802
"D09",0.00733333333333333,0.00433333333333333,0.0143333333333333,0.00733333333333333,0,"Lab_14",24.4,"C13",2025-05-06,0.00012,0.00018,0.00737704918032789,3829
"D10",0.00933333333333334,0.00533333333333334,0.0223333333333333,0.00933333333333334,0,"Lab_15",23.5,"C14",2025-05-06,7.20000000000004e-05,0.000108000000000001,0.00459574468085109,5004
"D11",0.0113333333333333,0.00433333333333333,0.0193333333333333,0.0113333333333333,0,"Lab_15",24.2,"C15",2025-05-06,0.00048,0.00072,0.0297520661157025,7881
"D12",0.00866666666666667,0.00466666666666667,0.0136666666666667,0.00866666666666667,0,"Lab_15",27,"C16",2025-05-06,0.000264,0.000396000000000001,0.0146666666666667,5776
"E02",0.00533333333333334,0.00233333333333334,0.0103333333333333,0.00433333333333333,-0.001,"Lab_16",25,"D2",2025-05-12,0.000167999999999999,0.000251999999999999,0.01008,2477
"E05",0.00933333333333333,0.00533333333333333,0.0243333333333333,0.00933333333333333,0,"Lab_17",24,"D5",2025-05-12,2.40000000000003e-05,3.60000000000005e-05,0.00150000000000002,1926
"E08",0.00666666666666667,0.00366666666666667,0.0166666666666667,0.00666666666666667,0,"Lab_18",23.8,"D8",2025-05-12,4.79999999999995e-05,7.19999999999993e-05,0.00302521008403358,2481
"E10",0.00433333333333333,0.00233333333333334,0.0113333333333333,0.00433333333333333,0,"Lab_19",24.7,"D10",2025-05-12,2.39999999999995e-05,3.59999999999993e-05,0.00145748987854248,2265
"E11",0.00733333333333334,0.00533333333333334,0.0153333333333333,0.00733333333333334,0,"Lab_19",25.7,"D11",2025-05-12,1.56125112837913e-19,2.34187669256869e-19,9.1123606714735e-18,1554
"E12",0.00666666666666667,0.00466666666666667,0.0146666666666667,0.00666666666666667,0,"Lab_19",25.8,"D12",2025-05-12,1.56125112837913e-19,2.34187669256869e-19,9.07704144406469e-18,1986
"F02",0.0123333333333333,0.00533333333333334,0.0123333333333333,0.0123333333333333,0,"Lab_20",25.1,"D14",2025-05-12,0.000672,0.001008,0.0401593625498008,7568
"F03",0.00833333333333333,0.00233333333333333,0.00933333333333333,0.00833333333333333,0,"Lab_20",25.2,"D15",2025-05-12,0.000552,0.000828,0.0328571428571428,8097
"F04",0.00966666666666667,0.00266666666666667,0.0106666666666667,0.00966666666666667,0,"Lab_21",23,"D16",2025-05-12,0.000648,0.000972,0.0422608695652174,8000
"F05",0.0233333333333333,0.00933333333333333,0.0183333333333333,0.0203333333333333,-0.003,"Lab_21",24.8,"E1",2025-05-12,0.001464,0.002196,0.0885483870967742,14452
"F06",0.0163333333333333,0.00733333333333334,0.0143333333333333,0.0163333333333333,0,"Lab_21",23.8,"E2",2025-05-12,0.000912,0.001368,0.0574789915966387,11514
"F07",0.00633333333333334,0.00233333333333333,0.00933333333333333,0.00633333333333334,0,"Lab_22",24.5,"E3",2025-05-12,0.000312,0.000468000000000001,0.0191020408163266,4821
"F08",0.0106666666666667,0.00466666666666667,0.0106666666666667,0.0106666666666667,0,"Lab_22",23.5,"E4",2025-05-12,0.000576,0.000864000000000001,0.0367659574468085,6683
"F09",0.0133333333333333,0.00733333333333333,0.0143333333333333,0.0133333333333333,0,"Lab_22",24.1,"E5",2025-05-12,0.000552,0.000828,0.034356846473029,7450
"F10",0.00733333333333334,0.00233333333333334,0.00933333333333334,0.00733333333333334,0,"Lab_23",24,"E6",2025-05-12,0.000432,0.000647999999999999,0.027,8281
"F11",0.0153333333333333,0.00433333333333333,0.0163333333333333,0.0153333333333333,0,"Lab_23",24.4,"E7",2025-05-12,0.001032,0.001548,0.0634426229508197,14797
"F12",0.0136666666666667,0.00466666666666667,0.0156666666666667,0.0126666666666667,-0.001,"Lab_23",24.4,"E8",2025-05-12,0.000816,0.001224,0.0501639344262295,12049
"G01",0.00933333333333333,0.00233333333333333,0.0153333333333333,0.00933333333333333,0,"Lab_24",24.5,"E9",2025-05-12,0.000528,0.000792,0.0323265306122449,9078
"G05",0.00933333333333333,0.00433333333333333,0.0143333333333333,0.00933333333333333,0,"Lab_25",25.7,"E13",2025-05-12,0.00036,0.000540000000000001,0.021011673151751,6541
"G06",0.00333333333333333,0.00133333333333334,0.00833333333333334,0.00333333333333333,0,"Lab_25",23.3,"E14",2025-05-12,7.19999999999994e-05,0.000107999999999999,0.00463519313304717,1894
"G08",0.0296666666666667,0.00866666666666667,0.0176666666666667,0.0306666666666667,0.001,"Lab_26",23.9,"E16",2025-05-12,0.002304,0.003456,0.144602510460251,38571
"G09",0.0203333333333333,0.00433333333333333,0.0123333333333333,0.0203333333333333,0,"Lab_26",26.6,"F1",2025-05-12,0.001728,0.002592,0.0974436090225564,27366
"G10",0.0163333333333333,0.00933333333333334,0.0303333333333333,0.0163333333333333,0,"Lab_35",25.4,"F2",2025-05-12,0.000336,0.000504,0.0198425196850394,7797
"G11",0.0233333333333333,0.00933333333333333,0.0293333333333333,0.0223333333333333,-0.001,"Lab_35",24.2,"F3",2025-05-12,0.0012,0.0018,0.0743801652892562,16318
"G12",0.0246666666666667,0.0116666666666667,0.0346666666666667,0.0246666666666667,0,"Lab_35",26.2,"F4",2025-05-12,0.001008,0.001512,0.0577099236641221,13050
"H01",0.0233333333333333,0.0153333333333333,0.0403333333333333,0.0233333333333333,0,"Lab_36",26.3,"F5",2025-05-12,0.00036,0.00054,0.020532319391635,5612
"H02",0.0163333333333333,0.0113333333333333,0.0303333333333333,0.0173333333333333,0.001,"Lab_36",24.3,"F6",2025-05-12,0.000144,0.000216,0.00888888888888891,5238
"H03",0.160333333333333,0.134333333333333,0.205333333333333,0.161333333333333,0.000999999999999973,"Lab_36",25.8,"F7",2025-05-12,0.001416,0.002124,0.082325581395349,16646
"H04",0.0606666666666667,0.0296666666666667,0.0516666666666667,0.0616666666666667,0.001,"Lab_37",24.9,"F8",2025-05-12,0.003192,0.004788,0.192289156626506,38923
"H05",0.0743333333333333,0.0363333333333333,0.0693333333333333,0.0743333333333333,0,"Lab_37",26.3,"F9",2025-05-12,0.003768,0.005652,0.214904942965779,39640
"H06",0.138333333333333,0.0813333333333333,0.137333333333333,0.138333333333333,0,"Lab_37",24.8,"F10",2025-05-12,0.005496,0.008244,0.33241935483871,45258
"H07",0.0153333333333333,0.00633333333333334,0.0263333333333333,0.0153333333333333,0,"Lab_38",24,"F11",2025-05-12,6e-04,9e-04,0.0375,9851
"H08",0.0136666666666667,0.00966666666666667,0.0276666666666667,0.0136666666666667,0,"Lab_38",25.4,"F12",2025-05-12,4.79999999999995e-05,7.19999999999993e-05,0.00283464566929131,3666
"H09",0.0303333333333333,0.0223333333333333,0.0523333333333333,0.0303333333333333,0,"Lab_38",25.1,"F13",2025-05-12,0.000240000000000001,0.000360000000000001,0.0143426294820718,2458
"H10",0.0543333333333333,0.0373333333333333,0.0683333333333333,0.0533333333333333,-0.001,"Lab_39",25.8,"F14",2025-05-12,0.001296,0.001944,0.0753488372093023,12174
"H11",0.0393333333333333,0.0253333333333333,0.0543333333333333,0.0383333333333333,-0.001,"Lab_39",26.4,"F15",2025-05-12,0.000984,0.001476,0.0559090909090909,13289
"H12",0.0766666666666667,0.0596666666666667,0.108666666666667,0.0756666666666667,-0.001,"Lab_39",25.9,"F16",2025-05-12,0.000864,0.001296,0.0500386100386101,12658
