"ID","weights","sample weight","Tray well","join_id","date","X600"
"Lab_01",26.6,1,"a1","A01",2025-05-30,0.2885
"Lab_01",27,2,"a2","A02",2025-05-30,0.1955
"Lab_02",24.1,3,"a3","A03",2025-05-30,0.1655
"Lab_02",25.9,4,"a4","A04",2025-05-30,0.2345
"Lab_03",25,5,"a5","A05",2025-05-30,0.3315
"Lab_03",26,6,"a6","A06",2025-05-30,0.3155
"Lab_04",25.3,7,"a7","A07",2025-05-30,0.1945
"Lab_04",23.9,8,"a8","A08",2025-05-30,0.1315
"Lab_05",23.8,9,"a9","A09",2025-05-30,0.2405
"Lab_05",25.7,10,"a10","A10",2025-05-30,0.2615
"Lab_06",25.1,11,"a11","A11",2025-05-30,0.3535
"Lab_06",24.5,12,"a12","A12",2025-05-30,0.4025
"Lab_07",26.3,13,"a13","B01",2025-05-30,0.2995
"Lab_07",24.4,14,"a14","B02",2025-05-30,0.2705
"Lab_08",25.5,15,"a15","B03",2025-05-30,0.3115
"Lab_08",25.9,16,"a16","B04",2025-05-30,0.2805
"Lab_09",25.4,17,"a17","B05",2025-05-30,0.2355
"Lab_09",26.6,18,"a18","B06",2025-05-30,0.2395
"Lab_10",25.9,19,"a19","B07",2025-05-30,0.3195
"Lab_10",25,20,"a20","B08",2025-05-30,0.2425
"Lab_11",25.3,21,"a21","B09",2025-05-30,0.2005
"Lab_11",25.5,22,"a22","B10",2025-05-30,0.4345
"Lab_12",24.5,23,"a23","B11",2025-05-30,0.3315
"Lab_12",24.6,24,"a24","B12",2025-05-30,0.3275
"Lab_13",26.3,25,"a25","C01",2025-05-30,0.3535
"Lab_13",24.5,26,"a26","C02",2025-05-30,0.4095
"Lab_14",26.2,27,"a27","C03",2025-05-30,0.3315
"Lab_14",25.2,28,"a28","C04",2025-05-30,0.2265
"Lab_15",24.5,29,"a29","C05",2025-05-30,0.2235
"Lab_15",25.8,30,"a30","C06",2025-05-30,0.3215
"Lab_16",26.8,31,"a31","C07",2025-05-30,0.3165
"Lab_16",25.2,32,"a32","C08",2025-05-30,0.1795
"Lab_17",24.5,33,"a33","C09",2025-05-30,0.1915
"Lab_17",26.8,34,"a34","C10",2025-05-30,0.3465
"Lab_18",25.9,35,"a35","C11",2025-05-30,0.2825
"Lab_18",26,36,"a36","C12",2025-05-30,0.2735
"Lab_19",24.2,37,"a37","D01",2025-05-30,0.3135
"Lab_19",24.1,38,"a38","D02",2025-05-30,0.3905
"Lab_23",24.8,39,"a39","D03",2025-05-30,0.3835
"Lab_23",24.3,40,"a40","D04",2025-05-30,0.3425
"Lab_24",26.9,41,"a41","D05",2025-05-30,0.3075
"Lab_24",24.7,42,"a42","D06",2025-05-30,0.2975
"Lab_25",27,43,"a43","D07",2025-05-30,0.3545
"Lab_25",24.5,44,"a44","D08",2025-05-30,0.3985
"Lab_26",26.3,45,"a45","D09",2025-05-30,0.3455
"Lab_26",26.4,46,"a46","D10",2025-05-30,0.2705
"Lab_35",23.1,47,"a47","D11",2025-05-30,0.3325
"Lab_35",25.6,48,"a48","D12",2025-05-30,0.2625
"Lab_36",26.9,49,"a49","E01",2025-05-30,0.3075
"Lab_36",25.6,50,"a50","E02",2025-05-30,0.2815
"Lab_37",26.5,51,"a51","E03",2025-05-30,0.3685
"Lab_37",24.2,52,"a52","E04",2025-05-30,0.3365
"Lab_38",26.5,53,"a53","E05",2025-05-30,0.2735
"Lab_38",23.9,54,"a54","E06",2025-05-30,0.2035
"Lab_39",26.1,55,"a55","E07",2025-05-30,0.4655
"Lab_39",24.6,56,"a56","E08",2025-05-30,0.3325
"Lab_40",26.8,57,"a57","E09",2025-05-30,0.4135
"Lab_40",26.5,58,"a58","E10",2025-05-30,0.3965
"Lab_41",27,59,"a59","E11",2025-05-30,0.3335
"Lab_41",23.8,60,"a60","E12",2025-05-30,0.3865
"Lab_42",26.7,61,"a61","F01",2025-05-30,0.3085
"Lab_42",23.9,62,"a62","F02",2025-05-30,0.2355
"Lab_43",27,63,"a63","F03",2025-05-30,0.2675
"Lab_43",23.7,64,"a64","F04",2025-05-30,0.2715
"Lab_44",24.2,65,"a65","F05",2025-05-30,0.3115
"Lab_44",23.4,66,"a66","F06",2025-05-30,0.2005
"Lab_45",24.2,67,"a67","F07",2025-05-30,0.1905
"Lab_45",25.9,68,"a68","F08",2025-05-30,0.3115
"Lab_46",27,69,"a69","F09",2025-05-30,0.4465
"Lab_46",26.7,70,"a70","F10",2025-05-30,0.3075
"Lab_47",25.4,71,"a71","F11",2025-05-30,0.3075
"Lab_47",25,72,"a72","F12",2025-05-30,0.3745
"Lab_49",23.2,73,"a73","G01",2025-05-30,0.3865
"Lab_49",25.4,74,"a74","G02",2025-05-30,0.3655
"Lab_50",26.2,75,"a75","G03",2025-05-30,0.3405
"Lab_50",26.8,76,"a76","G04",2025-05-30,0.2045
"ST_1.2",NA,NA,NA,"H01",2025-05-30,0.2585
"ST_2.4",NA,NA,NA,"H02",2025-05-30,0.3235
"ST_3.0",NA,NA,NA,"H03",2025-05-30,0.4455
"ST_3.6",NA,NA,NA,"H04",2025-05-30,0.5575
"ST_4.8",NA,NA,NA,"H05",2025-05-30,0.7785
"ST_1.2",NA,NA,NA,"H06",2025-05-30,0.1808333333
"ST_2.4",NA,NA,NA,"H07",2025-05-30,0.273
"ST_3.0",NA,NA,NA,"H08",2025-05-30,0.395
"ST_3.6",NA,NA,NA,"H09",2025-05-30,0.5848333333
"ST_4.8",NA,NA,NA,"H10",2025-05-30,0.7355
"BLANK_01",NA,NA,NA,"H11",2025-05-30,0.0025
"BLANK_02",NA,NA,NA,"H12",2025-05-30,-0.0025
